File,aid,Date,(2) Evergreen Broadleaf Forests,(4) Deciduous Broadleaf Forests,(5) Mixed Forests,(9) Savannas,(10) Grasslands,(11) Permanent Wetlands,(12) Croplands,(13) Urban and Built-up Lands,(14) Cropland/Natural Vegetation Mosaic,(16) Barren,(17) Water Bodies
LC_Type1_2023001_aid0001,aid0001,2023-01-01 00:00:00+00:00,3,,9,1349,175,34,45247,595,6714,168,484
LC_Type1_2024001_aid0001,aid0001,2024-01-01 00:00:00+00:00,4,1.0,9,1317,161,33,44416,595,7590,167,485
