File,aid,Date,0,2,4,5,9
QC_2023001_aid0001,aid0001,2023-01-01 00:00:00+00:00,53620,165,311,87,595
QC_2024001_aid0001,aid0001,2024-01-01 00:00:00+00:00,53629,131,345,78,595
