File,aid,Date,0,2,4,5,9
QC_2023001_aid0001,aid0001,2023-01-01 00:00:00+00:00,94913,1574,3704,476,386
QC_2024001_aid0001,aid0001,2024-01-01 00:00:00+00:00,94981,1610,3668,406,388
