File,aid,Date,2,17,65,81,97,129,145
QC_Day_2024073_aid0001,aid0001,2024-03-13 00:00:00+00:00,156.0,,11799,25.0,,83.0,8.0
QC_Day_2024081_aid0001,aid0001,2024-03-21 00:00:00+00:00,71.0,23.0,5069,41.0,,,
QC_Day_2024089_aid0001,aid0001,2024-03-29 00:00:00+00:00,71.0,20.0,6425,35.0,,,
QC_Day_2024097_aid0001,aid0001,2024-04-06 00:00:00+00:00,150.0,,15223,1.0,,1252.0,30.0
QC_Day_2024105_aid0001,aid0001,2024-04-14 00:00:00+00:00,,4.0,12036,37.0,,7.0,
QC_Day_2024113_aid0001,aid0001,2024-04-22 00:00:00+00:00,,5.0,7393,46.0,,1.0,
QC_Day_2024121_aid0001,aid0001,2024-04-30 00:00:00+00:00,2.0,6.0,5468,32.0,,,
QC_Day_2024129_aid0001,aid0001,2024-05-08 00:00:00+00:00,2168.0,,20408,32.0,,1618.0,5.0
QC_Day_2024137_aid0001,aid0001,2024-05-16 00:00:00+00:00,4791.0,,17377,27.0,,1336.0,24.0
QC_Day_2024145_aid0001,aid0001,2024-05-24 00:00:00+00:00,9423.0,,15835,26.0,,4.0,4.0
QC_Day_2024153_aid0001,aid0001,2024-06-01 00:00:00+00:00,4870.0,,19382,37.0,,703.0,3.0
QC_Day_2024161_aid0001,aid0001,2024-06-09 00:00:00+00:00,10616.0,,12808,76.0,,12.0,3.0
QC_Day_2024169_aid0001,aid0001,2024-06-17 00:00:00+00:00,20870.0,,4248,17.0,,392.0,13.0
QC_Day_2024177_aid0001,aid0001,2024-06-25 00:00:00+00:00,23273.0,,954,,,1314.0,
QC_Day_2024185_aid0001,aid0001,2024-07-03 00:00:00+00:00,22735.0,,2295,6.0,,499.0,5.0
QC_Day_2024193_aid0001,aid0001,2024-07-11 00:00:00+00:00,19639.0,,2796,,,2977.0,
QC_Day_2024201_aid0001,aid0001,2024-07-19 00:00:00+00:00,19556.0,,2221,,,3738.0,12.0
QC_Day_2024209_aid0001,aid0001,2024-07-27 00:00:00+00:00,22495.0,,2563,7.0,,433.0,15.0
QC_Day_2024217_aid0001,aid0001,2024-08-04 00:00:00+00:00,23427.0,,1595,1.0,,518.0,
QC_Day_2024225_aid0001,aid0001,2024-08-12 00:00:00+00:00,23644.0,,899,,,988.0,
QC_Day_2024233_aid0001,aid0001,2024-08-20 00:00:00+00:00,24334.0,,1205,2.0,,,
QC_Day_2024241_aid0001,aid0001,2024-08-28 00:00:00+00:00,8998.0,,15310,31.0,,669.0,12.0
QC_Day_2024249_aid0001,aid0001,2024-09-05 00:00:00+00:00,9636.0,,13232,21.0,,1968.0,8.0
QC_Day_2024257_aid0001,aid0001,2024-09-13 00:00:00+00:00,3533.0,,6320,,,15587.0,33.0
QC_Day_2024265_aid0001,aid0001,2024-09-21 00:00:00+00:00,8122.0,,13766,23.0,,30.0,8.0
QC_Day_2024273_aid0001,aid0001,2024-09-29 00:00:00+00:00,23837.0,,691,,,1007.0,
QC_Day_2024281_aid0001,aid0001,2024-10-07 00:00:00+00:00,4679.0,,19208,49.0,,248.0,1.0
QC_Day_2024289_aid0001,aid0001,2024-10-15 00:00:00+00:00,250.0,3.0,8680,43.0,,370.0,
QC_Day_2024297_aid0001,aid0001,2024-10-23 00:00:00+00:00,264.0,3.0,18677,57.0,,16.0,
QC_Day_2024305_aid0001,aid0001,2024-10-31 00:00:00+00:00,33.0,2.0,18484,55.0,,,
QC_Day_2024313_aid0001,aid0001,2024-11-08 00:00:00+00:00,,,11235,44.0,,,
QC_Day_2024321_aid0001,aid0001,2024-11-16 00:00:00+00:00,11.0,4.0,9939,45.0,,,3.0
QC_Day_2024329_aid0001,aid0001,2024-11-24 00:00:00+00:00,4255.0,4.0,18398,34.0,,324.0,8.0
QC_Day_2024337_aid0001,aid0001,2024-12-02 00:00:00+00:00,23.0,23.0,7078,22.0,,,
QC_Day_2024345_aid0001,aid0001,2024-12-10 00:00:00+00:00,134.0,2.0,9899,39.0,,,6.0
QC_Day_2024353_aid0001,aid0001,2024-12-18 00:00:00+00:00,18.0,11.0,5729,44.0,,,
QC_Day_2024361_aid0001,aid0001,2024-12-26 00:00:00+00:00,,19.0,2681,28.0,,,
QC_Day_2025001_aid0001,aid0001,2025-01-01 00:00:00+00:00,584.0,,18765,28.0,,,28.0
QC_Day_2025009_aid0001,aid0001,2025-01-09 00:00:00+00:00,28.0,1.0,6901,33.0,,,10.0
QC_Day_2025017_aid0001,aid0001,2025-01-17 00:00:00+00:00,1.0,4.0,8473,43.0,,,
QC_Day_2025025_aid0001,aid0001,2025-01-25 00:00:00+00:00,2818.0,,17653,34.0,,7.0,19.0
QC_Day_2025033_aid0001,aid0001,2025-02-02 00:00:00+00:00,,10.0,1074,25.0,,,
QC_Day_2025041_aid0001,aid0001,2025-02-10 00:00:00+00:00,,1.0,5932,42.0,,,2.0
QC_Day_2025049_aid0001,aid0001,2025-02-18 00:00:00+00:00,5.0,11.0,5627,37.0,,,3.0
QC_Day_2025057_aid0001,aid0001,2025-02-26 00:00:00+00:00,,9.0,2571,40.0,,,
QC_Day_2025065_aid0001,aid0001,2025-03-06 00:00:00+00:00,,1.0,1168,36.0,,,
QC_Day_2025073_aid0001,aid0001,2025-03-14 00:00:00+00:00,,21.0,1127,38.0,,,
QC_Day_2025081_aid0001,aid0001,2025-03-22 00:00:00+00:00,,16.0,56,38.0,,,
QC_Day_2025089_aid0001,aid0001,2025-03-30 00:00:00+00:00,7.0,20.0,9827,31.0,,,
QC_Day_2025097_aid0001,aid0001,2025-04-07 00:00:00+00:00,45.0,5.0,16319,34.0,,8.0,13.0
QC_Day_2025105_aid0001,aid0001,2025-04-15 00:00:00+00:00,6509.0,2.0,12562,3.0,,1011.0,6.0
QC_Day_2025113_aid0001,aid0001,2025-04-23 00:00:00+00:00,,32.0,2312,23.0,,,
QC_Day_2025121_aid0001,aid0001,2025-05-01 00:00:00+00:00,315.0,3.0,20080,41.0,,212.0,4.0
QC_Day_2025129_aid0001,aid0001,2025-05-09 00:00:00+00:00,88.0,3.0,17056,39.0,,77.0,3.0
QC_Day_2025137_aid0001,aid0001,2025-05-17 00:00:00+00:00,14387.0,,9549,30.0,,1147.0,3.0
QC_Day_2025145_aid0001,aid0001,2025-05-25 00:00:00+00:00,24071.0,,921,3.0,,546.0,
QC_Day_2025153_aid0001,aid0001,2025-06-02 00:00:00+00:00,3236.0,,12624,4.0,,8948.0,22.0
QC_Day_2025161_aid0001,aid0001,2025-06-10 00:00:00+00:00,8096.0,,15608,9.0,,1707.0,28.0
QC_Day_2025169_aid0001,aid0001,2025-06-18 00:00:00+00:00,17269.0,,7888,,1.0,274.0,
QC_Day_2025177_aid0001,aid0001,2025-06-26 00:00:00+00:00,21912.0,,2578,,,997.0,2.0
QC_Day_2025185_aid0001,aid0001,2025-07-04 00:00:00+00:00,23806.0,,987,,,742.0,2.0
QC_Day_2025193_aid0001,aid0001,2025-07-12 00:00:00+00:00,19179.0,,5815,5.0,,512.0,10.0
QC_Day_2025201_aid0001,aid0001,2025-07-20 00:00:00+00:00,24990.0,,542,,,,
QC_Day_2025209_aid0001,aid0001,2025-07-28 00:00:00+00:00,25353.0,,159,,,29.0,
QC_Day_2025217_aid0001,aid0001,2025-08-05 00:00:00+00:00,25386.0,,155,,,,
QC_Day_2025225_aid0001,aid0001,2025-08-13 00:00:00+00:00,12565.0,,12011,14.0,6.0,741.0,16.0
QC_Day_2025233_aid0001,aid0001,2025-08-21 00:00:00+00:00,13112.0,,10591,14.0,,1784.0,
QC_Day_2025241_aid0001,aid0001,2025-08-29 00:00:00+00:00,12404.0,,9695,19.0,1.0,3324.0,7.0
QC_Day_2025249_aid0001,aid0001,2025-09-06 00:00:00+00:00,7325.0,,15695,10.0,,1174.0,4.0
QC_Day_2025257_aid0001,aid0001,2025-09-14 00:00:00+00:00,18430.0,,3934,10.0,,3109.0,15.0
QC_Day_2025265_aid0001,aid0001,2025-09-22 00:00:00+00:00,2491.0,,20164,20.0,,997.0,22.0
