File,aid,Date,(1) Evergreen Needleleaf Forests,(2) Evergreen Broadleaf Forests,(4) Deciduous Broadleaf Forests,(5) Mixed Forests,(8) Woody Savannas,(9) Savannas,(10) Grasslands,(11) Permanent Wetlands,(12) Croplands,(13) Urban and Built-up Lands,(14) Cropland/Natural Vegetation Mosaic,(16) Barren,(17) Water Bodies
LC_Type1_2023001_aid0001,aid0001,2023-01-01 00:00:00+00:00,5,109,2,16,10,6275,1585,11539,50919,514,24457,261,5361
LC_Type1_2024001_aid0001,aid0001,2024-01-01 00:00:00+00:00,4,208,1,25,26,7000,1565,11179,48460,521,26312,302,5450
