File,aid,Date,(1) Evergreen Needleleaf Forests,(2) Evergreen Broadleaf Forests,(9) Savannas,(10) Grasslands,(11) Permanent Wetlands,(12) Croplands,(13) Urban and Built-up Lands,(14) Cropland/Natural Vegetation Mosaic,(16) Barren,(17) Water Bodies
LC_Type1_2023001_aid0001,aid0001,2023-01-01 00:00:00+00:00,45,1,1245,533,242,65106,1084,7490,212,1166
LC_Type1_2024001_aid0001,aid0001,2024-01-01 00:00:00+00:00,85,5,1343,492,203,63725,1086,8781,238,1166
