File,aid,Date,2,17,33,65,81,97,129,145
QC_Night_2024081_aid0001,aid0001,2024-03-21 00:00:00+00:00,,26.0,,2233.0,23.0,,,
QC_Night_2024089_aid0001,aid0001,2024-03-29 00:00:00+00:00,,49.0,,16.0,3.0,,,
QC_Night_2024097_aid0001,aid0001,2024-04-06 00:00:00+00:00,1524.0,4.0,,8553.0,41.0,,,
QC_Night_2024105_aid0001,aid0001,2024-04-14 00:00:00+00:00,,38.0,,3.0,6.0,,,
QC_Night_2024113_aid0001,aid0001,2024-04-22 00:00:00+00:00,,55.0,,,1.0,,,
QC_Night_2024121_aid0001,aid0001,2024-04-30 00:00:00+00:00,,48.0,,900.0,,,,
QC_Night_2024129_aid0001,aid0001,2024-05-08 00:00:00+00:00,106.0,24.0,,10023.0,29.0,,,
QC_Night_2024137_aid0001,aid0001,2024-05-16 00:00:00+00:00,669.0,35.0,,5189.0,9.0,,6.0,
QC_Night_2024145_aid0001,aid0001,2024-05-24 00:00:00+00:00,6.0,39.0,,1674.0,10.0,,,
QC_Night_2024153_aid0001,aid0001,2024-06-01 00:00:00+00:00,3625.0,3.0,,7617.0,48.0,,2313.0,
QC_Night_2024161_aid0001,aid0001,2024-06-09 00:00:00+00:00,5652.0,20.0,,5461.0,47.0,,165.0,
QC_Night_2024169_aid0001,aid0001,2024-06-17 00:00:00+00:00,18681.0,,,644.0,2.0,,,
QC_Night_2024177_aid0001,aid0001,2024-06-25 00:00:00+00:00,19375.0,,,,,,,
QC_Night_2024185_aid0001,aid0001,2024-07-03 00:00:00+00:00,19375.0,,,,,,,
QC_Night_2024193_aid0001,aid0001,2024-07-11 00:00:00+00:00,19375.0,,,,,,,
QC_Night_2024201_aid0001,aid0001,2024-07-19 00:00:00+00:00,19375.0,,,,,,,
QC_Night_2024209_aid0001,aid0001,2024-07-27 00:00:00+00:00,16615.0,3.0,,1871.0,2.0,,,
QC_Night_2024217_aid0001,aid0001,2024-08-04 00:00:00+00:00,19375.0,,,,,,,
QC_Night_2024225_aid0001,aid0001,2024-08-12 00:00:00+00:00,15404.0,8.0,,1793.0,14.0,,,
QC_Night_2024233_aid0001,aid0001,2024-08-20 00:00:00+00:00,19375.0,,,,,,,
QC_Night_2024241_aid0001,aid0001,2024-08-28 00:00:00+00:00,5424.0,29.0,,5841.0,21.0,,,
QC_Night_2024249_aid0001,aid0001,2024-09-05 00:00:00+00:00,13371.0,11.0,,1046.0,5.0,,,
QC_Night_2024257_aid0001,aid0001,2024-09-13 00:00:00+00:00,89.0,60.0,,388.0,,,,
QC_Night_2024265_aid0001,aid0001,2024-09-21 00:00:00+00:00,7001.0,15.0,,3750.0,50.0,,559.0,4.0
QC_Night_2024273_aid0001,aid0001,2024-09-29 00:00:00+00:00,19109.0,,,224.0,,,3.0,
QC_Night_2024281_aid0001,aid0001,2024-10-07 00:00:00+00:00,7135.0,19.0,,7493.0,19.0,4.0,591.0,
QC_Night_2024289_aid0001,aid0001,2024-10-15 00:00:00+00:00,,31.0,1.0,1474.0,37.0,,,
QC_Night_2024297_aid0001,aid0001,2024-10-23 00:00:00+00:00,,53.0,,2293.0,10.0,,,
QC_Night_2024305_aid0001,aid0001,2024-10-31 00:00:00+00:00,,54.0,,,,,,
QC_Night_2024313_aid0001,aid0001,2024-11-08 00:00:00+00:00,,19.0,,43.0,23.0,,,
QC_Night_2024321_aid0001,aid0001,2024-11-16 00:00:00+00:00,,26.0,,1158.0,8.0,,,
QC_Night_2024329_aid0001,aid0001,2024-11-24 00:00:00+00:00,,13.0,,2837.0,32.0,,,
QC_Night_2024337_aid0001,aid0001,2024-12-02 00:00:00+00:00,,22.0,,64.0,28.0,,,
QC_Night_2024345_aid0001,aid0001,2024-12-10 00:00:00+00:00,,22.0,,1422.0,20.0,,,
QC_Night_2024353_aid0001,aid0001,2024-12-18 00:00:00+00:00,,6.0,,2785.0,34.0,,,
QC_Night_2024361_aid0001,aid0001,2024-12-26 00:00:00+00:00,,36.0,,317.0,21.0,,,
QC_Night_2025001_aid0001,aid0001,2025-01-01 00:00:00+00:00,,25.0,,899.0,36.0,,,
QC_Night_2025009_aid0001,aid0001,2025-01-09 00:00:00+00:00,,15.0,,1248.0,32.0,,,
QC_Night_2025017_aid0001,aid0001,2025-01-17 00:00:00+00:00,,14.0,,1417.0,42.0,,,
QC_Night_2025025_aid0001,aid0001,2025-01-25 00:00:00+00:00,,10.0,,1692.0,38.0,,,
QC_Night_2025033_aid0001,aid0001,2025-02-02 00:00:00+00:00,,23.0,,1696.0,19.0,,,
QC_Night_2025041_aid0001,aid0001,2025-02-10 00:00:00+00:00,24.0,46.0,,2093.0,10.0,,,
QC_Night_2025049_aid0001,aid0001,2025-02-18 00:00:00+00:00,,19.0,,907.0,29.0,,,
QC_Night_2025057_aid0001,aid0001,2025-02-26 00:00:00+00:00,,14.0,,1177.0,24.0,,,
QC_Night_2025065_aid0001,aid0001,2025-03-06 00:00:00+00:00,,18.0,,6.0,20.0,,,
QC_Night_2025073_aid0001,aid0001,2025-03-14 00:00:00+00:00,,55.0,,248.0,1.0,,,
QC_Night_2025081_aid0001,aid0001,2025-03-22 00:00:00+00:00,,37.0,,1.0,1.0,,,
QC_Night_2025089_aid0001,aid0001,2025-03-30 00:00:00+00:00,,38.0,,1035.0,3.0,,,
QC_Night_2025097_aid0001,aid0001,2025-04-07 00:00:00+00:00,2.0,34.0,,5659.0,17.0,,,
QC_Night_2025105_aid0001,aid0001,2025-04-15 00:00:00+00:00,,47.0,,4912.0,5.0,,,
QC_Night_2025113_aid0001,aid0001,2025-04-23 00:00:00+00:00,,37.0,,11.0,16.0,,,
QC_Night_2025121_aid0001,aid0001,2025-05-01 00:00:00+00:00,,46.0,,1168.0,12.0,,,
