File,aid,Date,0,2,4,5,9
QC_2023001_aid0001,aid0001,2023-01-01 00:00:00+00:00,74879,61,1105,53,1026
QC_2024001_aid0001,aid0001,2024-01-01 00:00:00+00:00,74894,47,1119,40,1024
