File,aid,Date,0,1,2,3,4,5,9
QC_2023001_aid0001,aid0001,2023-01-01 00:00:00+00:00,75002,,6186,42,6027,424,197
QC_2024001_aid0001,aid0001,2024-01-01 00:00:00+00:00,74991,1.0,6229,42,5984,435,196
