File,aid,Date,2,3,17,65,81,129,145
QC_Night_2024089_aid0001,aid0001,2024-03-29 00:00:00+00:00,1,249,32.0,87.0,,,
QC_Night_2024097_aid0001,aid0001,2024-04-06 00:00:00+00:00,22,249,13.0,3807.0,19.0,,
QC_Night_2024105_aid0001,aid0001,2024-04-14 00:00:00+00:00,2,249,21.0,111.0,4.0,,
QC_Night_2024113_aid0001,aid0001,2024-04-22 00:00:00+00:00,3,249,23.0,34.0,,,
QC_Night_2024121_aid0001,aid0001,2024-04-30 00:00:00+00:00,2,249,30.0,2870.0,3.0,,
QC_Night_2024129_aid0001,aid0001,2024-05-08 00:00:00+00:00,2,249,33.0,3285.0,,,
QC_Night_2024137_aid0001,aid0001,2024-05-16 00:00:00+00:00,4,249,33.0,3745.0,2.0,,
QC_Night_2024145_aid0001,aid0001,2024-05-24 00:00:00+00:00,6216,249,18.0,7317.0,18.0,402.0,
QC_Night_2024153_aid0001,aid0001,2024-06-01 00:00:00+00:00,17,249,13.0,6218.0,23.0,1.0,
QC_Night_2024161_aid0001,aid0001,2024-06-09 00:00:00+00:00,356,249,14.0,4476.0,20.0,,
QC_Night_2024169_aid0001,aid0001,2024-06-17 00:00:00+00:00,21939,249,,,,,
QC_Night_2024177_aid0001,aid0001,2024-06-25 00:00:00+00:00,21939,249,,,,,
QC_Night_2024185_aid0001,aid0001,2024-07-03 00:00:00+00:00,21939,249,,,,,
QC_Night_2024193_aid0001,aid0001,2024-07-11 00:00:00+00:00,18831,249,,2223.0,2.0,,
QC_Night_2024201_aid0001,aid0001,2024-07-19 00:00:00+00:00,21939,249,,,,,
QC_Night_2024209_aid0001,aid0001,2024-07-27 00:00:00+00:00,21939,249,,,,,
QC_Night_2024217_aid0001,aid0001,2024-08-04 00:00:00+00:00,21939,249,,,,,
QC_Night_2024225_aid0001,aid0001,2024-08-12 00:00:00+00:00,21939,249,,,,,
QC_Night_2024233_aid0001,aid0001,2024-08-20 00:00:00+00:00,21939,249,,,,,
QC_Night_2024241_aid0001,aid0001,2024-08-28 00:00:00+00:00,18546,249,6.0,2573.0,20.0,,
QC_Night_2024249_aid0001,aid0001,2024-09-05 00:00:00+00:00,21939,249,,,,,
QC_Night_2024257_aid0001,aid0001,2024-09-13 00:00:00+00:00,7393,249,39.0,4013.0,1.0,,
QC_Night_2024265_aid0001,aid0001,2024-09-21 00:00:00+00:00,21289,249,,548.0,,74.0,
QC_Night_2024273_aid0001,aid0001,2024-09-29 00:00:00+00:00,21939,249,,,,,
QC_Night_2024281_aid0001,aid0001,2024-10-07 00:00:00+00:00,4,249,61.0,1297.0,,19.0,
QC_Night_2024289_aid0001,aid0001,2024-10-15 00:00:00+00:00,41,249,35.0,1910.0,10.0,,
QC_Night_2024297_aid0001,aid0001,2024-10-23 00:00:00+00:00,2,249,35.0,252.0,,,
QC_Night_2024305_aid0001,aid0001,2024-10-31 00:00:00+00:00,1,249,2.0,73.0,27.0,,
QC_Night_2024313_aid0001,aid0001,2024-11-08 00:00:00+00:00,2,249,5.0,52.0,19.0,,
QC_Night_2024321_aid0001,aid0001,2024-11-16 00:00:00+00:00,1,249,14.0,59.0,13.0,,
QC_Night_2024329_aid0001,aid0001,2024-11-24 00:00:00+00:00,10,249,6.0,6656.0,35.0,,
QC_Night_2024337_aid0001,aid0001,2024-12-02 00:00:00+00:00,2,249,33.0,261.0,1.0,,
QC_Night_2024345_aid0001,aid0001,2024-12-10 00:00:00+00:00,2,249,20.0,3119.0,11.0,,
QC_Night_2024353_aid0001,aid0001,2024-12-18 00:00:00+00:00,62,249,5.0,6605.0,29.0,12.0,3.0
QC_Night_2024361_aid0001,aid0001,2024-12-26 00:00:00+00:00,1,249,35.0,85.0,,,
QC_Night_2025001_aid0001,aid0001,2025-01-01 00:00:00+00:00,1,249,12.0,4445.0,27.0,,
QC_Night_2025009_aid0001,aid0001,2025-01-09 00:00:00+00:00,1,249,21.0,61.0,8.0,,
QC_Night_2025017_aid0001,aid0001,2025-01-17 00:00:00+00:00,2,249,4.0,1396.0,27.0,,
QC_Night_2025025_aid0001,aid0001,2025-01-25 00:00:00+00:00,1,249,2.0,487.0,27.0,,
QC_Night_2025033_aid0001,aid0001,2025-02-02 00:00:00+00:00,1,249,4.0,688.0,24.0,,
QC_Night_2025041_aid0001,aid0001,2025-02-10 00:00:00+00:00,2,249,5.0,2780.0,22.0,,
QC_Night_2025049_aid0001,aid0001,2025-02-18 00:00:00+00:00,2,249,5.0,4881.0,23.0,,
QC_Night_2025057_aid0001,aid0001,2025-02-26 00:00:00+00:00,1,249,1.0,2697.0,31.0,,
QC_Night_2025065_aid0001,aid0001,2025-03-06 00:00:00+00:00,1,249,29.0,55.0,,,
QC_Night_2025073_aid0001,aid0001,2025-03-14 00:00:00+00:00,2,249,37.0,746.0,,,
QC_Night_2025081_aid0001,aid0001,2025-03-22 00:00:00+00:00,2,249,43.0,59.0,,,
QC_Night_2025089_aid0001,aid0001,2025-03-30 00:00:00+00:00,1,249,29.0,39.0,,,
QC_Night_2025097_aid0001,aid0001,2025-04-07 00:00:00+00:00,3,249,39.0,185.0,,,
QC_Night_2025105_aid0001,aid0001,2025-04-15 00:00:00+00:00,33,249,35.0,8666.0,1.0,,
QC_Night_2025113_aid0001,aid0001,2025-04-23 00:00:00+00:00,3,249,32.0,197.0,,,
QC_Night_2025121_aid0001,aid0001,2025-05-01 00:00:00+00:00,1,249,5.0,10171.0,26.0,,
QC_Night_2025129_aid0001,aid0001,2025-05-09 00:00:00+00:00,124,249,32.0,7728.0,1.0,80.0,
QC_Night_2025137_aid0001,aid0001,2025-05-17 00:00:00+00:00,21231,249,,708.0,,,
QC_Night_2025145_aid0001,aid0001,2025-05-25 00:00:00+00:00,21939,249,,,,,
QC_Night_2025153_aid0001,aid0001,2025-06-02 00:00:00+00:00,2183,249,1.0,11572.0,14.0,1606.0,4.0
QC_Night_2025161_aid0001,aid0001,2025-06-10 00:00:00+00:00,17583,249,,2012.0,,,
QC_Night_2025169_aid0001,aid0001,2025-06-18 00:00:00+00:00,21939,249,,,,,
QC_Night_2025177_aid0001,aid0001,2025-06-26 00:00:00+00:00,21939,249,,,,,
QC_Night_2025185_aid0001,aid0001,2025-07-04 00:00:00+00:00,21939,249,,,,,
QC_Night_2025193_aid0001,aid0001,2025-07-12 00:00:00+00:00,21939,249,,,,,
QC_Night_2025201_aid0001,aid0001,2025-07-20 00:00:00+00:00,21939,249,,,,,
QC_Night_2025209_aid0001,aid0001,2025-07-28 00:00:00+00:00,21630,249,,300.0,,,
QC_Night_2025217_aid0001,aid0001,2025-08-05 00:00:00+00:00,21939,249,,,,,
QC_Night_2025225_aid0001,aid0001,2025-08-13 00:00:00+00:00,21627,249,,311.0,,,
QC_Night_2025233_aid0001,aid0001,2025-08-21 00:00:00+00:00,21939,249,,,,,
QC_Night_2025241_aid0001,aid0001,2025-08-29 00:00:00+00:00,10728,249,14.0,5380.0,29.0,,
QC_Night_2025249_aid0001,aid0001,2025-09-06 00:00:00+00:00,21840,249,,96.0,,,
QC_Night_2025257_aid0001,aid0001,2025-09-14 00:00:00+00:00,21939,249,,,,,
QC_Night_2025265_aid0001,aid0001,2025-09-22 00:00:00+00:00,18056,249,,2996.0,10.0,,
