File,aid,Date,(1) Evergreen Needleleaf Forests,(2) Evergreen Broadleaf Forests,(4) Deciduous Broadleaf Forests,(5) Mixed Forests,(8) Woody Savannas,(9) Savannas,(10) Grasslands,(11) Permanent Wetlands,(12) Croplands,(13) Urban and Built-up Lands,(14) Cropland/Natural Vegetation Mosaic,(16) Barren,(17) Water Bodies
LC_Type1_2023001_aid0001,aid0001,2023-01-01 00:00:00+00:00,3,166,2,16,10,12014,1968,12482,35924,299,11077,41,13876
LC_Type1_2024001_aid0001,aid0001,2024-01-01 00:00:00+00:00,3,485,1,26,27,12718,1811,12153,33725,302,12611,62,13954
