File,aid,Date,0,2,4,5,9
QC_2023001_aid0001,aid0001,2023-01-01 00:00:00+00:00,60459,740,1052,3,359
QC_2024001_aid0001,aid0001,2024-01-01 00:00:00+00:00,60454,752,1040,4,363
