File,aid,Date,(1) Evergreen Needleleaf Forests,(2) Evergreen Broadleaf Forests,(4) Deciduous Broadleaf Forests,(5) Mixed Forests,(8) Woody Savannas,(9) Savannas,(10) Grasslands,(11) Permanent Wetlands,(12) Croplands,(13) Urban and Built-up Lands,(14) Cropland/Natural Vegetation Mosaic,(16) Barren,(17) Water Bodies
LC_Type1_2023001_aid0001,aid0001,2023-01-01 00:00:00+00:00,8,6295,9806,1408,27772,2520,1545,458,6609,489,3903,9,1791
LC_Type1_2024001_aid0001,aid0001,2024-01-01 00:00:00+00:00,3,6204,9134,1758,28477,2673,1618,466,6166,490,3821,11,1792
