File,aid,Date,0,2,4,5,9
QC_2023001_aid0001,aid0001,2023-01-01 00:00:00+00:00,43064,227,180,2265,140
QC_2024001_aid0001,aid0001,2024-01-01 00:00:00+00:00,42899,237,170,2429,141
